category,title,tags,age_rating,rating_description,description,representation,duration_txt,duration_sec,first_broadcast,synopsis_small,synopsis_medium,synopsis_large,image
Documentaries,Blue Planet Revisited - Series 1: 1. A Shark's Tale,"BBC, iPlayer, TV, Blue Planet Revisited, Series 1: 1. A Sharks Tale",U,clean,Steve Backshall reveals why the Bahamas has one of the largest shark populations on earth.,,59 mins,3540,5:35pm 29 Mar 2020,Steve Backshall reveals why the Bahamas has one of the largest shark populations on earth.,Steve Backshall discovers why the Bahamas provide ideal sanctuary for sharks. What we can learn from these rich tropical waters that will help oceans all across the planet?,"A scattering of some 700 islands in the Atlantic Ocean, the Bahamas are home to one of the largest and most diverse shark populations on the planet. Over the course of three weeks, Steve Backshall discovers why the Bahamas provide such sanctuary for sharks, looking at the protection offered to them, people’s changing attitudes and the key role science plays in their conservation. Steve joins researchers who have dedicated their lives to this unique and often misunderstood group of animals and learns that a healthy shark population is absolutely vital to a healthy marine ecosystem.",https://ichef.bbci.co.uk/images/ic/1200x675/p087lyf7.jpg
Documentaries,The Devil's Music - Series 2: Episode 4,"BBC, iPlayer, TV, The Devils Music, Series 2: Episode 4",U,clean,Alexis Korner looks at contemporary Chicago Blues music. (1979),1.0,25 mins,1486,30 Jul 1979,Alexis Korner looks at contemporary Chicago Blues music. (1979),"First transmitted in 1979, the last of four programmes exploring American Blues music. Alexis Korner focuses on contemporary Chicago Blues.","First transmitted in 1979, the last of four programmes exploring American Blues music. Alexis Korner focuses on electric Blues and Rhythm and Blues - the form that has generally become know as Chicago Blues.",https://ichef.bbci.co.uk/images/ic/1200x675/p01m7rld.jpg
Documentaries,Louis Theroux's Weird Weekends - Series 3: 6. Rap,"BBC, iPlayer, TV, Louis Therouxs Weird Weekends, Series 3: 6. Rap",15,"sex references, cult","Louis Theroux hopes to become the first white, middle-class gangsta rapper in New Orleans.",1.0,48 mins,2877,9pm 30 Oct 2000,"Louis Theroux hopes to become the first white, middle-class gangsta rapper in New Orleans.","Louis Theroux travels to New Orleans in the hope of becoming the first white, middle-class gangsta rapper. He meets up with rapper Mellow T and interviews Master P before penning his own rhymes.","Louis Theroux continues to explore the weirder fringes of society, travelling to New Orleans in the hope of becoming the first white, middle-class gangsta rapper. He meets up with rapper Mellow T and interviews Master P before penning his own rhymes about his love of red wine, his Fiat car and Shepherd's Bush.",https://ichef.bbci.co.uk/images/ic/1200x675/p05gm39v.jpg
Documentaries,A Perfect Planet - Series 1: 1. Volcano,"BBC, iPlayer, TV, A Perfect Planet, Series 1: 1. Volcano",U,clean,"A look at how without volcanoes, there would be no life on Earth.",,59 mins,3549,3 Jan 2021,"A look at how without volcanoes, there would be no life on Earth.","A look at how without volcanoes, there would be no life on Earth. Although destructive, magma from the planet’s molten core builds land, and mineral-rich ash from eruptions fertilises the surface.",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p09240nc.jpg
Documentaries,Hometown: A Killing - Series 1: 2. Rumours,"BBC, iPlayer, TV, Hometown: A Killing, Series 1: 2. Rumours",15,"violence, suicide, abduction",Journalist Mobeen Azhar discovers that Yassar Yaqub isn’t the only story in town.,2.0,31 mins,1850,19 Jun 2019,Journalist Mobeen Azhar discovers that Yassar Yaqub isn’t the only story in town.,"Mobeen Azhar investigates rumours about Yassar Yaqub, and a trial linked to Yaqub begins. With street violence escalating, Mobeen explores drug-related crime in the area.","Journalist Mobeen Azhar investigates rumours surrounding Yassar Yaqub, and a trial linked to the night he died starts twenty miles down the road at Leeds Crown Court. With violence on the streets of Huddersfield escalating, Mobeen explores the aftermath of this apparently drug-related crime and uncovers its impact on innocent locals.",https://ichef.bbci.co.uk/images/ic/1200x675/p07dgyl8.jpg
Documentaries,Louis Theroux - By Reason of Insanity: Part 1,"BBC, iPlayer, TV, Louis Theroux, By Reason of Insanity: Part 1",15,references to real murders,Louis immerses himself in the world of Ohios state psychiatric hospitals.,1.0,59 mins,3516,22 Mar 2015,Louis immerses himself in the world of Ohio's state psychiatric hospitals.,Documentary. Louis explores the nature of mental illness. He looks at how to reintegrate a patient into society when they have previously committed a serious crime.,"Louis immerses himself in the world of Ohio's state psychiatric hospitals, meeting patients who have committed crimes - at times horrifically violent - while in the grip of severe mental illness. They have been found not guilty by reason of insanity and ordered by the courts to secure psychiatric facilities to receive the treatment that it is hoped will, one day, lead to their reintegration back into society. In the first of two episodes, Louis spends time with patients attempting to come to terms with their crimes and the clinicians entrusted with helping to make them safe. And he investigates the difficult question - when is a patient with a serious crime in their past ready to be returned to the outside world?",https://ichef.bbci.co.uk/images/ic/1200x675/p02p1x01.jpg
Documentaries,Dynasties - Series 1: 5. Tiger,"BBC, iPlayer, TV, Dynasties, Series 1: 5. Tiger",PG,animal surival,A tigress must protect her cubs while battling rivals who want to overthrow her.,,58 mins,3465,8pm 9 Dec 2018,A tigress must protect her cubs while battling rivals who want to overthrow her.,Documentary following endangered species fighting for their survival. A tigress must protect her cubs while battling rivals who want to steal her lands and overthrow her.,"This episode features a tigress named Raj Bhera who lives in Bandhavgarh Tiger Reserve in India and holds the perfect tiger territory, with dense jungle, spring-fed ponds and rich grasslands teeming with prey.  And now, she has four tiny newborn cubs to care for. They are the future of her dynasty. But the idyllic world that she inhabits is changing. Rival tigers, seeking their own territory, are encroaching on her hunting lands. One in particular, her adult daughter Solo, is challenging Raj Bhera in the heart of her territory. The powerful tigress must fight to retain control of these hunting grounds while continuing to feed and protect her growing cubs. Solo's persistence puts pressure on the whole family, until Raj Bhera makes a decision that could end both her life and her dynasty forever.",https://ichef.bbci.co.uk/images/ic/1200x675/p06n2ddt.jpg
Documentaries,Reggie Yates' Extreme - Russia: 1. Far Right & Proud,"BBC, iPlayer, TV, Reggie Yates Extreme, Russia: 1. Far Right & Proud",12,infrequent strong language,In 2014 Reggie Yates travelled to Moscow to meet some of Russias far right nationalists.,2.0,60 mins,3600,13 Apr 2015,In 2014 Reggie Yates travelled to Moscow to meet some of Russia's far right nationalists.,"In the first of three programmes revealing the extreme side of Russia, Reggie Yates visits Moscow to get up close and personal with some of the country's far right nationalists.","Russia is the largest country on earth and home to nearly 150 million people. Vladimir Putin is well into his third term as president and, with the west imposing tough sanctions, relations are now the frostiest since the Cold War. Reggie Yates gets up close and personal with three very different communities in contemporary Russia. By living with them for a week, he explores what it's like for young people living here, 24 years after the fall of the Soviet Union.  In the first of three programmes revealing the extreme side of Russia, Reggie travels to Moscow to meet some of the country's most dangerous people - the nationalists. With Putin flexing his muscles and squaring up to the west, Reggie arrives in the Russian capital only days before a march in which thousands of ultra-nationalists take to the streets in a show of strength and unity. Reggie immerses himself into a world where patriotism and loving your country is becoming the norm, one with very dangerous consequences.He trains with knife-wielding far right nationalists, talks to the young artists who idolise Putin, and confronts teenage neo-Nazis who believe that if you're not white then you have no place in Russia. Reggie also meets the non-Russians who live in fear of persecution and hears horrific stories of those who have survived vicious racist attacks. And with the rise of the far right not just in Russia but across many other western countries, including the UK, Reggie asks if this is what can happen when you love your country too much.",https://ichef.bbci.co.uk/images/ic/1200x675/p06yd08l.jpg
Documentaries,Big Cats - Series 1: Episode 1,"BBC, iPlayer, TV, Big Cats, Series 1: Episode 1",PG,scenes of animals hunting,"Meet the worlds ultimate cats, remarkable members of an incredible animal family.",,58 mins,3480,11 Jan 2018,"Meet the world's ultimate cats, remarkable members of an incredible animal family.","Documentary series uncovering the secret lives of cats. In Ruaha, Tanzania, lions form huge super prides in order to hunt giants.","In Ruaha, Tanzania, lions form huge super prides in order to hunt giants. Amongst cats lions are unusual, the only one to live in groups. In numbers they find the strength and audacity to hunt the most formidable prey.In Sri Lanka a tiny rusty-spotted cat explores his forest home - 200 times smaller than a lion, the rusty-spotted is the smallest of all cats, but just as curious.The Canada lynx lives further north than any cat, relying on snowshoe hares to survive the bitterly cold winters. Until now, lynx were creatures of mystery, but now technology provides an insightinto their secret lives.Predators they may be, but cats are also tender, intelligent and emotional. Honey is an African leopard and a mother. For a decade she's worn a radio collar that has allowed scientists to follow her life's every twist and turn. Now in the worst drought in decades, she's battling to raise a cub.In the Himalayas, perhaps the world's most lonesome cat is searching for a mate - a male snow leopard, who may get just one chance to mate in his whole life.Cats are naturally secretive, elusive and cryptic animals. Only now have the latest developments in filming technology, and a surge in cat research, enabled us to bring the cat superstars out of the shadows.",https://ichef.bbci.co.uk/images/ic/1200x675/p08jjf8p.jpg
Documentaries,A Dangerous Dynasty: House of Assad - Series 1: Episode 2,"BBC, iPlayer, TV, A Dangerous Dynasty: House of Assad, Series 1: Episode 2",15,"disturbing images, violence","Bashar is now president, but the family are embroiled in a murder investigation.",2.0,59 mins,3552,9pm 16 Oct 2018,"Bashar is now president, but the family are embroiled in a murder investigation.","The story of the Assad dynasty. Bashar is now president and his wife is first lady, but they face problems on all sides and their regime is accused of killing a political enemy.","Three-part series delving into the story of the Assad dynasty. Right at the centre of it are President Bashar and his wife Asma, who met and fell in love in London. Bashar al-Assad trained to be an eye doctor at St Mary's Hospital in Paddington and Asma was a British-born girl from a Syrian family with a career in investment banking. Over a decade ago, they were being welcomed with open arms in Britain. Today, they are entrenched in a brutal war that has led to some of the most horrifying crimes of modern times. Told through rarely seen footage and testimony of those who knew them, worked with them and studied them, the series explores how the couple, who at first were seen as a modernising force, ended up running a regime accused of war crimes.In episode two, Bashar Assad is now president of Syria. His glamorous wife Asma is now first lady. Both are faced with a number of problems. Asma's in-laws don't like the idea of her being first lady and want to keep her out of the limelight. An angry president of the United States names Syria as part of the axis of evil and the United Nations issue resolutions that Bashar's family want him to ignore. The Assads soon find themselves at the centre of a murder investigation, as one of their political enemies is blown up in a car bomb. With rare footage of Bashar and Asma, this episode takes us from the opening of their opera house in Damascus to the massacre of prisoners in Syria's biggest jail.",https://ichef.bbci.co.uk/images/ic/1200x675/p06nl5xs.jpg
Documentaries,Caribbean with Simon Reeve - Episode 2,"BBC, iPlayer, TV, Caribbean with Simon Reeve, Episode 2",12,drug references,"Simon Reeve continues his journey in Barbados, St Vincent, Venezuela and Colombia.",3.0,59 mins,3560,8pm 29 Mar 2015,"Simon Reeve continues his journey in Barbados, St Vincent, Venezuela and Colombia.","Travel series. The second leg of Simon Reeve's journey around the Caribbean Sea takes him from the beautiful island of Barbados to St Vincent, Venezuela and Colombia.","The second leg of Simon Reeve's journey around the Caribbean Sea sees him start at beautiful islands and travel along the coast of South America. On the beautiful and wealthy island of Barbados, he meets the owner of a traditional chattel house who has turned down offers of millions of dollars from luxury property developers and dives the reef on a hunt for invading lionfish which are disrupting the delicate ecosystem. On the green volcanic slopes of St Vincent, Simon meets the marijuana growers hoping, like their prime minister, that the drug will soon be decriminalised. Venezuela is one of the most turbulent countries in the Caribbean and from a high-rise slum in Caracas to the lawless border lands, Simon tries to work out how a country so rich in oil has fallen so low. Ending his epic journey in Colombia, Simon gains rare access to the Kogi - an indigenous people who have maintained their traditional forest lifestyle in the face of an encroaching and damaging modern world.",https://ichef.bbci.co.uk/images/ic/1200x675/p02lbjpt.jpg
Documentaries,Fraud Squad - Series 4: Episode 6,"BBC, iPlayer, TV, Fraud Squad, Series 4: Episode 6",12,"moderate bad language, sex references, threat, violence",A leading academic steals nearly £3 million of grants meant for environmental research.,3.0,44 mins,2618,10am 22 Feb 2022,A leading academic steals nearly £3 million of grants meant for environmental research.,"An academic steals millions meant for environmental research, a council fights back against fraudulent compensation claims, and a conman steals £10,000 meant for Covid-19 support.","A leading Cambridge academic steals nearly £3 million of government grants meant for environmental research, then smuggles bundles of cash out of the country inside empty chocolate boxes. A local council fights back against fraudulent compensation claims that could cripple its budget, and a fraudster abuses the Covid-19 support scheme to line their own pockets with £10,000, stolen from the public purse.",https://ichef.bbci.co.uk/images/ic/1200x675/p0bpmts3.jpg
Documentaries,We Are Black and British - Series 1: Episode 2,"BBC, iPlayer, TV, We Are Black and British, Series 1: Episode 2",12,"language, discrimination theme, drug references","The group tackle race at work, marrying in or out, and where mixed-race people fit in.",2.0,59 mins,3549,9pm 24 Feb 2022,"The group tackle race at work, marrying in or out, and where mixed-race people fit in.","The other three members of the group reveal their stories as they tackle breaking down barriers at work, whether race matters when it comes to love and where mixed-race people fit into black identity.","Six black Britons from very different backgrounds and viewpoints are coming together under one roof at a time when race and racism in the UK have sparked a nationwide discussion about what needs to change. They grapple with tough, unsettling and emotional questions about being black and British in search of a way forward. Each of them has a deeply personal story to share about an event that proved to be a seismic moment in their life. They confront their differences, hoping to find answers from each other and from those who are trying to change Britain.The most radical of the group, university professor Kehinde, set up Britain's first black studies degree. He believes it's time for a fundamental change to Britain. He has a revolutionary idea to reveal to the group which could prove divisive - black-only workplaces. Although recent years have seen black leaders taking the top jobs at some big companies, at the latest count, there wasn't a single black CEO in a FTSE 100 company. At the other end of the pay scale, however, black people are overrepresented in lower-paying jobs. The group meet someone who won one of the UK's biggest race discrimination payouts in recent years and debate whether taking companies to task or race-based quotas could be the way forward. One of the panel from last year's controversial race commission report also drops in to discuss whether or not racism is still the most significant barrier holding back progression for black people in Britain.29-year-old NHS doctor Raphel has matters of the heart on his mind.  He's at a stage in life where he's looking to settle down and feeling the pressure to marry within the black community, so he wants to ask the group whether race should matter when it comes to love. Black men in Britain marry outside their race far more than white and Asian men, but black women are statistically more likely than black men to be in same-race relationships. To find out more, some of the group head off for a night out at a diverse dating event in the West Midlands to meet other single people dealing with the same dilemma.Last to reveal her story is 34-year-old property and litigation contractor Lin with an extremely personal experience that is born from her mixed heritage. 1.2 million people in the UK are mixed-race, and the numbers are growing. Lin's experience of racism from both sides of her extended family has led her to question where mixed race people fit in when it comes to being black. It strikes a chord with many in the group, raising fundamental questions about what it means to be black.",https://ichef.bbci.co.uk/images/ic/1200x675/p0bppz6x.jpg
Documentaries,Mediterranean with Simon Reeve - Series 1: Episode 1,"BBC, iPlayer, TV, Mediterranean with Simon Reeve, Series 1: Episode 1",12,mild bad language,Simon Reeve embarks on the first leg of an extraordinary journey around the Mediterranean.,3.0,59 mins,3542,7 Oct 2018,Simon Reeve embarks on the first leg of an extraordinary journey around the Mediterranean.,"Simon Reeve embarks on the first leg of an extraordinary four-part journey around the Mediterranean, travelling from Malta across the sea to southern Italy and on to Albania.","Simon Reeve embarks on the first leg of his epic four-part journey around the Mediterranean. At the centre of this great sea, and surrounded by crystal clear waters, is Simon's first stop, the beautiful island of Malta. Driven by a surge of tourists, modern-day Malta is booming. But beneath the picture-postcard image lies a country accused of being a haven for money laundering and organised crime, where journalists can be murdered by car bombs.When Simon takes a ferry to his next destination, Calabria in southern Italy, he discovers a region in the grip of Europe's most powerful mafia, the 'Ndrangheta. With rare access to police and customs investigators, Simon follows an armed convoy carrying a ton of seized cocaine, joins a stakeout of a high-level suspect, and crawls through a huge underground warren of tunnels and bunkers built by fugitive mafia bosses. Travelling east along the southern tip of mainland Italy, Simon visits a turtle conservation centre, meeting Raoul, a loggerhead turtle rescued after swallowing huge quantities of plastic, a massive and increasing threat to Mediterranean wildlife. Simon helps release him back into the sea. Taking the overnight ferry from the heel of Italy, Simon arrives in one of the least-known but most beautiful corners of the Mediterranean, Albania. Under communist rule, Albania was isolated and shut off from most of the world. In a country now hoping for EU membership, Simon discovers an ancient culture of vendetta, where if an adult commits a crime, a child can be killed in revenge. Simon ends the first leg of his journey at a spectacular wildlife reserve where bird life is now recovering following the country's groundbreaking ban on hunting.",https://ichef.bbci.co.uk/images/ic/1200x675/p07jv23g.jpg
Documentaries,The Mating Game - Series 1: 4. Freshwater: Timing Is Everything,"BBC, iPlayer, TV, The Mating Game, Series 1: 4. Freshwater: Timing Is Everything",PG,animals mating,The cycle of freshwater triggers spectacular mating rituals and fierce competition.,,58 mins,3476,8pm 24 Oct 2021,The cycle of freshwater triggers spectacular mating rituals and fierce competition.,"Freshwater is often the stage on which millions of animals gather to find a mate, and the cycle of freshwater is the trigger for spectacular mating rituals and fierce competition.","Freshwater covers only a tiny fraction of the earth’s surface, but it is a vital meeting place for many animals - the stage on which millions gather to find a mate. Yet with so little of it available, and often only briefly, the challenge for most individuals is how to overcome intense competition when your rivals are just as dependent on the precious freshwater for their success. Whether it is from melting ice, torrential rain or shrinking wetlands, the cycle of freshwater is the trigger for spectacular mating rituals and fierce combat.The start of the rains in South Africa triggers a violent battle between male giant African bullfrogs. Rare hooded grebes in Patagonia perform one of nature’s more comical dances to seduce their partner, and a male cichlid fish builds a home for his harem from old snail shells, but a sneaky dwarf has the last laugh there.The mating season for animals that live in freshwater is often determined by when is best for their new offspring - even if that moment is far from ideal for the parents. In the wetlands of Zambia, female lechwe antelope search for the strongest males while contending with drought, and in the Pantanal of Brazil at the end of the dry season, caimans congregate in huge numbers around the last remaining water to perform their spectacular displays.For all those dependent on the cycle of freshwater to breed, timing is everything.",https://ichef.bbci.co.uk/images/ic/1200x675/p09z41sr.jpg
Documentaries,Nadiya's Fast Flavours - Series 1: 5. Chill Out,"BBC, iPlayer, TV, Nadiyas Fast Flavours, Series 1: 5. Chill Out",U,clean,Nadiya has some relaxed recipes to chill out with: Indian burgers and sticky BBQ chicken.,2.0,29 mins,1742,9 Dec 2021,Nadiya has some relaxed recipes to chill out with: Indian burgers and sticky BBQ chicken.,"Nadiya has some relaxed recipes to chill out with, including Bombay burgers, sticky BBQ sriracha chicken and a dreamy apple and custard pie.","Nadiya Hussain conjures up stress-free recipes that are ideal to chill out with on a lazy day at home. She begins with banana bread, the recipe that became a lockdown cliche. Nadiya’s twist on the classic loaf features fresh thyme leaves in the cake batter to add an elegant flavour boost. She also uses olive oil for earthiness and adorns the top with a simple salted caramel, creating a luxurious banoffee hit.Next up are veggie burgers, made with a Bombay mix. Nadiya uses just four ingredients to create them before baking the burgers in the oven with her easy onion rings. She serves them in warm buns loaded with melted cheese and lashings of lime pickle.Nadiya then lights up the BBQ for her sticky sriracha and honey chicken, complete with a side of smoky chargrilled aubergine and a retro-inspired curried coronation sauce. Finally, she indulges her love of baking with an apple and custard pie- the perfect pudding to put your feet up with and unwind.  Meanwhile, Shropshire BBQ expert Adam Purnell shares his mouthwatering recipe for tomahawk steak cooked over an open fire, a treat to share with family and friends.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b55qmf.jpg
Documentaries,Natural World - Short Versions: Raising Sancho,"BBC, iPlayer, TV, Natural World, Short Versions: Raising Sancho",U,clean,The touching story of a rescued giant otter cub being raised by a Brazilian naturalist.,,4 mins,253,5 Aug 2020,The touching story of a rescued giant otter cub being raised by a Brazilian naturalist.,Wildlife documentary. The touching story of a giant otter cub called Sancho who was rescued and is being raised by Brazilian naturalist Carolina Vargas.,No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p08ynk96.jpg
Documentaries,One Pair of Eyes - Georgia Brown: Who Are the Cockneys Now?,"BBC, iPlayer, TV, One Pair of Eyes, Georgia Brown: Who Are the Cockneys Now?",PG,language,"Singer and actress Georgia Brown revisits her old home in Whitechapel, East London. (1968)",1.0,42 mins,2530,17 Aug 1968,"Singer and actress Georgia Brown revisits her old home in Whitechapel, East London. (1968)","First transmitted in 1968, Georgia Brown revisits her childhood Whitechapel home to see how the Jewish community is coming to terms with a more diverse immigrant population.","First transmitted in 1968, singer and actress Georgia Brown revisits her old childhood home in Whitechapel, East London and notes the fading presence of the Jewish immigrant community. Brown discusses the recent change in the area's increasingly diverse population and ponders the question, ""Who are the cockneys now?""",https://ichef.bbci.co.uk/images/ic/1200x675/p01hhbxx.jpg
Documentaries,Wonders of the Celtic Deep - Series 1: Episode 2,"BBC, iPlayer, TV, Wonders of the Celtic Deep, Series 1: Episode 2",U,clean,The world of the shallow seas is one of the richest and most productive on earth.,,58 mins,3493,12 Oct 2021,The world of the shallow seas is one of the richest and most productive on earth.,"The strange environment of the shallow seas is one that sits remarkably close to shore. In the giant kelp forest, we join a female catshark as she lays an egg deep in the forest floor.","The world of the shallow seas is one of the richest and most productive on earth, with an array of diverse wildlife habitats populated by a myriad of bizarre characters, seemingly straight from the pages of Welsh mythology.  We journey into this strange environment - one that sits remarkably close to shore. In the giant kelp forest, we join a female catshark as she lays an egg deep in the forest floor and watch as we witness a tangled web of hermaphrodite sea hares taking part in a three-day ‘love-athon’.   On the dramatic underwater cliffs off Pembrokeshire, we find the Great Barrier Reef of Wales, chocked with exotic gardens of sponges and soft corals. The alien-like predators on this rocky landscape include a rare spiny lobster and a large star fish, making a stealth attack on a hapless-looking scallop with a surprise up his sleeve.   Just beyond the beaches of Abersoch, an underwater desert stretches out to sea. With nowhere to hide, many marine inhabitants have found incredible ways to camouflage themselves from the visiting catshark. Meanwhile a gang of painted goby use extraordinary drum-like vocalisations to attract a female.   In Anglesey, Arctic terns have arrived to breed. These elegant sea birds have the longest migration of any bird on earth. They spend the summer fishing in the shallows to feed their young. On the wreck of the SS Gwynfaen, we meet a range of colourful and exciting characters including a three-meter-long conger eel.",https://ichef.bbci.co.uk/images/ic/1200x675/p09xt6zg.jpg
Documentaries,Living Differently - Series 5: 2. My Life With Half A Body,"BBC, iPlayer, TV, Living Differently, Series 5: 2. My Life With Half A Body",U,clean,Piyah was born with half a body and male and has now transitioned to female.,3.0,8 mins,467,29 Apr 2019,Piyah was born with half a body and male and has now transitioned to female.,Piyah was born with Sacral Agenesis - meaning she has only half a body. Piyah was born male and has now transitioned to female.,"Piyah was born with Sacral Agenesis - meaning she has only half a body. Piyah was born male and has now transitioned to female. She has had to overcome bullying and rejection because of her identity and appearance. Despite being judged all her life, she has recently found love with boyfriend Andrew, who calls her his ‘angel’. Even though she has no lower half, the 27-year-old trans woman gets around on a skateboard. She has built a physical and mental strength and now spends most of her life encouraging more LGBTQ, disabled women to embrace themselves and life – just like she does.",https://ichef.bbci.co.uk/images/ic/1200x675/p077rmxq.jpg
From the Archives,Waterloo Road - Series 9: Episode 20,"BBC, iPlayer, TV, Waterloo Road, Series 9: Episode 20",12,"moderate language, violence, references to sex, suicide",Kaceys boxing career is jeopardised when a challenge by Gabriella goes horribly wrong.,3.0,57 mins,3413,8pm 12 Mar 2014,Kacey's boxing career is jeopardised when a challenge by Gabriella goes horribly wrong.,School-based drama. Kacey's boxing career is jeopardised when a challenge by Gabriella goes horribly wrong. Simon turns to Christine when he finds himself unable to cope.,Kacey's boxing career is jeopardised when a challenge by Gabriella goes horribly wrong.Simon turns to Christine when he finds himself unable to cope with the challenges of Acting Head.,https://ichef.bbci.co.uk/images/ic/1200x675/p01thb59.jpg
From the Archives,Absolutely Fabulous - Series 4: 6. Menopause,"BBC, iPlayer, TV, Absolutely Fabulous, Series 4: 6. Menopause",12,language,Edinas company is losing clients and Patsy seems to be going through the menopause.,3.0,30 mins,1778,9pm 5 Oct 2001,Edina's company is losing clients and Patsy seems to be going through the menopause.,"Edina's company is losing clients to her rival, Claudia Bing, and Patsy seems to be going through the menopause.",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p07p8dh2.jpg
From the Archives,Doctor Who - Series 11: 8. The Witchfinders,"BBC, iPlayer, TV, Doctor Who, Series 11: 8. The Witchfinders",12,mild threat,The Doctor and friends encounter a witch trial and King James I in the 17th century.,3.0,47 mins,2791,6:30pm 25 Nov 2018,The Doctor and friends encounter a witch trial and King James I in the 17th century.,"In 17th-century Lancashire, the Doctor, Yaz, Ryan and Graham become embroiled in a witch trial and the arrival of King James I.","The Doctor, Ryan, Graham and Yaz arrive in 17th-century Lancashire and become embroiled in a witch trial, run by the local landowner. As fear stalks the land, the arrival of King James I only serves to intensify the witch hunt. But is there something even more dangerous at work? Can the Doctor and friends keep the people of Bilehurst Cragg safe from all the forces that are massing in the land?",https://ichef.bbci.co.uk/images/ic/1200x675/p06sby6v.jpg
From the Archives,Waterloo Road - Series 3: Episode 11,"BBC, iPlayer, TV, Waterloo Road, Series 3: Episode 11",12,"moderate language, violence, references to sex, suicide","In an attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip.",3.0,60 mins,3600,8pm 10 Jan 2008,"In an attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip.","Drama series set in a secondary school. In a last-ditch attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip.","Drama series set in a secondary school. In a last-ditch attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip. The teachers experience exam pressure for themselves. Tom hides his relationship with Davina from Chlo and Mika.",https://ichef.bbci.co.uk/images/ic/1200x675/p07lygz2.jpg
From the Archives,The Killing - Series 3: Episode 2,"BBC, iPlayer, TV, The Killing, Series 3: Episode 2",15,strong violence,The police try to track down the kidnapper of Robert Zeuthens daughter Emilie.,3.0,59 mins,3540,17 Nov 2012,The police try to track down the kidnapper of Robert Zeuthen's daughter Emilie.,"Danish crime drama series.  Following the kidnapping of Robert Zeuthen's daughter Emilie, Copenhagen Police put every effort into tracking down the perpetrator and finding her.","Following the kidnapping of Robert Zeuthen's daughter Emilie, Copenhagen Police put every effort into tracking down the perpetrator and finding the little girl. Meanwhile, the kidnapping has quickly become a hot potato in the election campaign and Prime Minister Kamper must deal with the fallout.In Danish with English subtitles.",https://ichef.bbci.co.uk/images/ic/1200x675/p09ds9w1.jpg
From the Archives,My Family - Series 2: 9. Get Cartier,"BBC, iPlayer, TV, My Family, Series 2: 9. Get Cartier",12,"mild sex references, innuendo",Ben suspects that one of his patients is a mobster after he gives him an expensive watch.,3.0,28 mins,1687,8:30pm 26 Oct 2001,Ben suspects that one of his patients is a mobster after he gives him an expensive watch.,Ben suspects that one of his patients is a mobster after he gives him an expensive watch.,No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p0872jrj.jpg
From the Archives,Life on Mars - Series 2: Episode 6,"BBC, iPlayer, TV, Life on Mars, Series 2: Episode 6",12,moderate sex references,"As heroin hits the streets of Manchester, CID want culprits for the smuggling and dealing.",3.0,57 mins,3448,9pm 27 Mar 2007,"As heroin hits the streets of Manchester, CID want culprits for the smuggling and dealing.","Drama series about a detective who wakes up in what seems to be 1973. As heroin hits the streets of Manchester, CID want culprits for the smuggling, dealing and ensuing violence.","Drama series about Sam Tyler, a detective who suffers a near-fatal car crash and wakes up in what seems to be 1973.As heroin hits the streets of Manchester for the first time, CID and DCI Hunt want culprits for the smuggling, the dealing and ensuing violence. As Sam tries to get to the source of the influx of this deadly drug, he finds himself intractably drawn to a beautiful young woman who was witness to a heroin-related shooting.",https://ichef.bbci.co.uk/images/ic/1200x675/p07lgdt6.jpg
From the Archives,Bad Education - Series 2: 3. Funeral,"BBC, iPlayer, TV, Bad Education, Series 2: 3. Funeral",15,strong sex references,Abbey Grove is rocked by the news that deputy headmistress Miss Pickwell is dead.,3.0,29 mins,1716,10pm 17 Sep 2013,Abbey Grove is rocked by the news that deputy headmistress Miss Pickwell is dead.,School-based sitcom. Alfie is wracked with guilt when Miss Pickwell's suicide note lays the finger of blame on him after one of his class's pranks pushes her over the edge.,"Abbey Grove is rocked by the news that deputy headmistress Miss Pickwell is dead, and Alfie is left particularly on edge when her suicide note clearly lays the finger of blame on him after one of his class's pranks pushes her over the edge. Haunted by guilt, will Alfie be able to put her unquiet spirit at rest with the perfect memorial service? With Pickwell gone, headmaster Mr Fraser decides to advertise for her position with less-than-successful results, which may mean Miss Gulliver is offered the role full-time. But will the power change her?",https://ichef.bbci.co.uk/images/ic/1200x675/p01k10wb.jpg
From the Archives,My Family - Series 6: 4. Living the Dream,"BBC, iPlayer, TV, My Family, Series 6: 4. Living the Dream",12,"mild sex references, innuendo","When is pyramid selling not pyramid selling? When Ben says so, apparently.",3.0,29 mins,1737,8:30pm 7 Apr 2006,"When is pyramid selling not pyramid selling? When Ben says so, apparently.","Domestic sitcom. When is pyramid selling not pyramid selling? When Ben says so, apparently.",No data found,https://ichef.bbci.co.uk/images/ic/1200x675/p087szl1.jpg
